active;barcode;cost_method;standard_price;description;description_purchase;description_picking;description_pickingout;description_pickingin;description_sale;sale_delay;di_categorie_id;di_calibre_id;di_des;di_marque_id;di_origine_id;image;image_small;image_medium;color;message_last_post;di_lavage;di_station_id;purchase_line_warn_msg;sale_line_warn_msg;property_cost_method;activity_summary;name;hs_code;purchase_ok;rental;sale_ok;weight;purchase_method;invoice_policy;price;list_price;di_prixmax;di_prixmin;lst_price;expense_policy;default_code;service_type;tracking;sequence;type;di_un_prix;di_un_saisie;valuation;property_valuation
True;1230000000001;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ABRICOT 2A ESP;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10001;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000002;standard;0.0;;;;;;;0.0;;;;;TUNISIE;;;;0;;False;;;;Prix standard;;ABRICOT A TUNISIE;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10002;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000003;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ABRICOT CURROT ESP 6;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10003;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000004;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;ABRICOT EARLY-BLUCH FR 35/40;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10004;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000005;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;ABRICOT EARLY-BLUCH FR TV;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10005;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000006;standard;0.0;;;;;;;0.0;;;;;TURQUIE;;;;0;;False;;;;Prix standard;;ABRICOT MOELL 2X2,5KG;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10006;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000007;standard;0.0;;;;;;;0.0;;;;;AUSTRALIE;;;;0;;False;;;;Prix standard;;ABRICOT ORANGE RED 4A AUSTRALIE;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10007;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000008;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ABRICOT PIMKOT ESP 5A 1RG 32F;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10008;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000009;standard;0.0;;;;;;;0.0;;;;;ESPAGNE;;;;0;;False;;;;Prix standard;;ABRICOT ROYAL 2A ESP;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10009;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000010;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;ABRICOT SPRING-BLUCH FR 45/50;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10010;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
